"method","path","source","generic_auth_middleware","generic_idempotency_middleware","openapi_literal_or_parameter_match"
"GET","/.well-known/llms.txt","api/src/routes/well-known.ts:677","","","false"
"GET","/.well-known/agent.txt","api/src/routes/well-known.ts:701","","","false"
"GET","/.well-known","api/src/routes/well-known.ts:945","","","true"
"HEAD","/.well-known","api/src/routes/well-known.ts:945","","","true"
"GET","/feeds/","api/src/index.ts:816","","","false"
"OPTIONS","/feeds/*","api/src/routes/offer-bus.ts:275","","","false"
"GET","/feeds","api/src/routes/offer-bus.ts:281","","","true"
"HEAD","/feeds","api/src/routes/offer-bus.ts:281","","","true"
"GET","/feeds/offers.atom","api/src/routes/offer-bus.ts:458","","","true"
"HEAD","/feeds/offers.atom","api/src/routes/offer-bus.ts:458","","","true"
"GET","/feeds/offers.rss","api/src/routes/offer-bus.ts:459","","","true"
"HEAD","/feeds/offers.rss","api/src/routes/offer-bus.ts:459","","","true"
"GET","/feeds/offers.json","api/src/routes/offer-bus.ts:460","","","true"
"HEAD","/feeds/offers.json","api/src/routes/offer-bus.ts:460","","","true"
"GET","/llms.txt","api/src/index.ts:829","","","false"
"GET","/AGENTS.md","api/src/index.ts:836","","","false"
"GET","/llms-full.txt","api/src/index.ts:843","","","false"
"GET","/robots.txt","api/src/routes/discovery-crawl.ts:30","","","true"
"HEAD","/robots.txt","api/src/routes/discovery-crawl.ts:30","","","true"
"GET","/sitemap.xml","api/src/routes/discovery-crawl.ts:34","","","true"
"HEAD","/sitemap.xml","api/src/routes/discovery-crawl.ts:34","","","true"
"GET","/v1/knock-knock/index","api/src/routes/knock-knock.ts:186","","","false"
"GET","/v1/knock-knock/:n","api/src/routes/knock-knock.ts:203","","","false"
"GET","/v1/knock-knock","api/src/routes/knock-knock.ts:228","","","false"
"GET","/v1/crown","api/src/routes/crown.ts:406","","","false"
"GET","/v1/crown/coronations","api/src/routes/crown.ts:426","","","false"
"GET","/v1/crown/coronations/:did","api/src/routes/crown.ts:446","","","false"
"POST","/v1/crown/coronations","api/src/routes/crown.ts:470","","","false"
"POST","/v1/crown/coronations/:did/events","api/src/routes/crown.ts:698","","","false"
"POST","/v1/crown/coronations/:did/keeper-removal","api/src/routes/crown.ts:842","","","false"
"POST","/v1/register/agent","api/src/routes/register-agent.ts:198","","","true"
"POST","/v1/register","api/src/routes/register.ts:85","","","true"
"GET","/v1/register","api/src/routes/register.ts:86","","","false"
